"리버사이드","용산","","98-99","16","","","outdoor|","","","1","record 331","높은 냉탕온도(22-23도)... 낮아진 냉탕 온도(16도)... 건식사우나가 단층인점 단 온도 자체는 좋았습니다(98-99도) 습식사우나는 불쾌한 냄새...","냉탕 온도 변화 (22-23도 → 16도), 건식 없음으로 보임"
"프리마","마포","","100","","","","outdoor|","","","1","record 735","건식 100도로 설정되어 있어 3단에 앉으면 매우 뜨겁게 사우나 즐기실 수 있습니다... 야외 노천탕 냉탕 후 외기욕...","야외 노천탕, 지하 휴게공간"
"마포365 센터","서울,마포","","76","13","40|44","58","","","","1","record 792","온탕 40 / 44 냉탕 13... 습식 건식 58 / 76","습식 58도, record 1418과 온도 불일치 주의"
"마포365사우나","서울 마포구","","","18.8","39","43","","","","1","record 1418","여탕 기준 냉탕 18.8, 온탕 39, 열탕 43도였구요... 습식 건식 사우나 둘 다 있었는데 온도는 잘 기억이 안 나네요.","여탕 기준, record 792와 온도 불일치"
"오라카이 청계산 사우나","경기 파주","","","21","","","","","","1","record 1002","냉탕 온도 더 낮은걸 좋아해서, 굳이 일부러 재방문은 안할것 같아요. (21도로 되어있었는데, 체감은 더 높아보였어요)","체감 온도 > 표시 온도"
"삼호궁전사우나","서울, 강남","","","17","","","","","","1","record 1113","17도에 맞춰져있는 급냉탕도 있고.. 주인분이 사우나를 무척 좋아하시는 분이 설계한것처럼 느꼈습니다","급냉탕 17도, 안 찬의자"
"경주 소노캄","경주","","75","23","","54","","","","1","record 1123","사우마목적 방문은 비추입니다. 건식사우나 75도(땀이 안남ㅠ) 습식 54도 냉탕 23도; 입니다.","사용자가 건식 온도를 낮다고 평가"
"프리마","부산,해운대","","100","","","","outdoor|","","","1","record 1173","야외 온천관리와 사우나 온도가 너무 좋더라구요 ! 100도 건식과 특히 습식도 제가 느껴본 습식사우나 온도중 가장 뜨거웠던게 인상 깊었습니다.","야외 온천, 습식 고온"
"솔로사우나 레포 노량진점","서울, 강남","","80","<10","","","nap|","","","1","record 1225","처음에 60도...ㅠㅠ... 로울리에 물을 여러 번 더해도 80도 정도로 유지... 냉탕... 10도 이하다 싶은 수준","여성 1인룸 기준, 누워서 외기욕 가능"
"산정호수 한화리조트 온천","서울,강남","","","","","","","","","1","record 1270","탕 온도도 낮았고 실내 건식 사우나 온도도 좀 낮아서 땀이 뻘뻘나지는 않았습니당ㅠ.ㅠ","구체적 온도 없음, 체감상 낮음"
"고성 서로재","서울 노원","","68","","","","outdoor|","","","1","record 1411","온도도 잘 올라가고 유지도 안정적이었고... 제가 이용했을 때 사우나 온도는 대략 68도 전후였습니다... 야외 노천탕...","투숙객 직접 급수/온도 조절 가능"
"경주 더케이호텔 사우나","경주","","","","40","44","outdoor|","","","1","record 1434","온탕은 40도 열탕은 44도 정도 되었고 노천탕은 44도보다 높은 느낌이었습니다.","노천탕 체감 44도 이상, 큰 미온탕"
"하이렉스 사우나","서울 서초","","","14","","","outdoor|","","","1","record 1437","노천탕이 있는데... 샤워기 20대 정도 온탕 3개 냉탕 두개 14° 짜리 급 냉탕... 사우나는 건식 두 종류 습식 한 종류","급냉탕 14도, 온탕 3개, 냉탕 2개, 건식 2종, 습식 1종"
"하이디하우스","서울,용산","","70-80","19","","","jjimjil|","","","1","record 1578","탕 온도는 42도, 38도, 24도, 19도 등등 엄청 다양하고, 건습식 사우나도 핀란드식, 습식, 원적외선식으로 3개 종류가 있습니다.","핀란드식/습식/원적외선식 3종, 남녀공용 수영복 스파"
"하이디하우스","서울,용산","","45|55|70-80","19","40","38","jjimjil|outdoor|","","","1","record 1650","42도, 40도, 38도, 25도, 19도... 노천탕 (38도)... 핀란드식 7~80도, 습식 45도, 원적외선 55도","노천탕 38도, 다양한 탕 온도, 냉탕 동선 아쉬움"
"부산 국제온천","부산","","70","20","","44","nap|enzyme|","","","1","record 1664","탕온도 44도까지 탕 4개 + 건식사우나 온도 70도부근정도. 냉탕온도 20도 토토노이 하실수 있는 베드 3개, 벤치 있습니다. 그리고 여탕에만 면역공방 있습니다","베드 3개, 벤치, 여탕만 면역공방"
"하남주심유황온천","경기, 분당","","","","","","","","","1","record 1682","노천탕 미운영입디다(영하5도일때만운영)... 온탕, 열탕(한약재 믹스탕) 냉탕, 습식, 건식없음","온탕/열탕/냉탕/습식, 건식 없음, 노천탕은 영하5도시만 운영"
"남해 쏠비치 사우나","남해","","70","","","","outdoor|","","","1","record 1908","시설은 정말 깔끔하고 좋았습니다만 건식 사우나 온도가 70도라 땀이 거의 안나서 조금 아쉬웠네요","인피니티 온수풀 뷰"
"아트리파라다이스","성남, 분당","","98","","","43","nap|","","","1","record 1999","여탕 기준으로 건식사우나 98도, 습식사우다 80도, 열탕 43도, 비치베드 2개... 샤워공간에 칸막이가 잘 되어있어서 프라이빗","여탕 기준, 비치베드 2개, 세신 예약, 헬스/수영"
"레몬사우나","경기, 분당","","104","<40","","","","","","1","record 2032","계기판은 ♨️104도 갈키고 있으나 아님... 온탕 : 40도 안되는 듯... 외기욕 공간은 없지만...","계기판 104도 vs 체감 낮음, 습식 스팀 약함, 외기욕 공간 없음"
"파라곤","목동","","","","","48","","","","1","record 2240","열탕이 48도? 이렇게 표시되어 있었어요 들어가면 몸이 따끔따끔한 느낌...","사용자가 48도 불확실함 표시 (물음표)"
"카마타 온센","도쿄, 하네다","","","","","","outdoor|","300","","1","record 32","도쿄 하네다 공항 쪽 들리시는 분은 <카마타 온센> 에서 잠시 목욕하시는 것 추천... 꽤 깨끗하게 유지... 뜨거운 검정색 탕이 인상적","하네다 공항 우버 10-15분, 건식 추가요금 300엔"
