"더 리버사이드 호텔 더 메디스파","서울 광진","97","56","15","39","43","outdoor|event_bath|nap|cool_room","","14000","5","9216","냉탕 15도 / 온탕 39도 / 이벤트탕 41도 / 열탕 43도 / 노천탕 42도/ 건식 97도 / 습식 56도","8회 방문, 26.04 ★★★☆☆→26.05 ★★☆☆☆ 악화"
"그랜드조선 제주","제주","80","","25","37","41","","","","5","9219","온탕37 열탕41 냉탕25 건식 80","투숙객 무료 조건 현재 정책 확인 필요"
"웨스틴서울 파르나스","강남","","","23","40","43","private","","","5","9220","혼탕 40 열탕 43 냉탕 23 이였고 건식, 습식 사우나","혼탕이 온탕 오타인지 확인 필요, MEDIUM 신뢰도"
"북수원 온천","경기 수원","","","18","39","43","event_bath|hinoki|scrub|nap","","","5","9311","열탕 43도 이벤트탕 41도 온탕 39도 히노끼탕 41도 안마탕 32도 냉탕 18도 정도","습식 건식 온도 아쉬움, 사람 많음"
"강변스파랜드","서울 서초","","","13-15","","","","","","5","9316","급랭탕 나름만족 13-15도 정도, 급냉탕은 물이 안 받아짐","체감 온도 MEDIUM 신뢰도, 8시 이후 찜질만 가능"
"스파레이","서울 경기","","","10|17|20","","42+","outdoor|water_bath|event_bath|nap|cool_room","","","5","9462","온탕 42도+, 이벤트탕 43도 근처, 냉탕 10도/체감 17도, 해수탕 20도, 안마탕 32도, 노천탕","사우나 온도계 103도, 여성전용 언급, 쉐레이와 병합 금지"
"구기동 쉐레이 사우나","서울 은평구","","","","40","44","scrub","","","5","10437","냉탕 100% 암반수, 온탕 40도, 열탕 44도, 넓고 깨끗함","물 구성 암반수 60% 발언 MEDIUM 신뢰도"
"수락산편백원","서울","","","","","48","enzyme|outdoor","","","5","9481","족욕 48도 정도, 효소찜질 15분, 외기욕 효소방 바로 옆","족욕 온도 체감 MEDIUM 신뢰도"
"Recharged","베트남 다낭","72","65","","","","outdoor|salt","","","5","9588","핀란드식 사우나 온도는 72도 / 스팀사우나는 65도 / 아이스배스","아이스배스 온도 미기재 LOW 신뢰도"
"원시불한증막","강원 양양","88","","","","","jjimjil","15000","","5","9864","내부온도는 약 88도, 한증막 2기, 샤워시설, 연중무휴","가격/운영시간 현재성 확인 필요"
"영빈호텔사우나","경기 고양 덕양구","92","50","19","41","43","jjimjil","200","","5","10034","온탕 41도 열탕 43도 냉탕 19도 습식 50도 불한증막 92도","여탕 드라이기 200원/3분, 수건 제한 없음"
"월곡건강랜드","서울 중구","98|82","53","30","","","jjimjil|salt","","","5","10060","찜질방 불한증막 95도/칠보석방 72도/소금방 78도, 사우나 고온건식 98도/저온건식 82도/습식 53도, 냉탕 30도","냉탕 온도 체감 부족, 리뉴얼 오픈"
"후암동 하남사우나","서울 동작구","110|43-44|38-39","","","38-39","43-44","","","","5","10065","건식 사우나 온도계 110도, 열탕 43-44도, 온탕 38-39도","여탕, 습식 뜨겁고 냉탕 그럭저럭"
"시수하우스","서울 성동구","","","10-14","","","private|hinoki|nap|cool_room","","","5","10075","냉수는 약 10-14도, 체감 온도는 부드럽게, 로일뤼 가능, 욕조 냉수","프라이빗, 핀란드 사우나, 리커버리 패키지"
"호텔 더디자이너스 서울역 사우나","경기 광명","84","","23","36","41","scrub","15000","","5","10341","온탕 36도, 열탕 41도, 냉탕 23도, 건식 사우나 84도, 셀프 로울리","남성 전용, 용산구 갈월동, 투숙객 12,000원"
"무한사우나","서울 강남 염창","91-94","","16-17","39","44","outdoor|event_bath","","","5","10144","온탕 39도, 열탕 44도, 이벤트탕 39도 이하, 건식/습식 91-94도, 냉탕 16-17도 체감","외기욕의자 4개, 기본기에 충실한 동네 목욕탕"
"그랜드하얏트 서울 남자 사우나","강남구","110|80","","20","40","44","","","","5","10582","건식 사우나 110도, 원적외선 사우나 80도, 습식 공사 중, 온탕 40도, 냉탕 20도, 열탕 44도","일부는 수동 온도계/탕면 각인 기준, MEDIUM 신뢰도"
"송해원","서울 경기 송도","93","82","21","40","43","water_bath|event_bath|nap","12000","","5","10595","온탕 40도 열탕 43도 이벤트탕 40도(더 미지근함) 안마탕 30도 냉탕 21도 건식 93도 습식 82도","송도 해수 온천, 여탕 샴푸/워시 없음, 내기욕 없음"
"군인공제회 사우나","서울 관악 도곡","","52","22","40","43","","15000","","5","10614","냉탕 22도, 온탕 40도, 열탕 43도, 습식 사우나 52도, 10-15분마다 수증기 분사","입장료 15,000원"
"이비스 스타일 앰배서더 명동 노천탕","서울 명동","83","","20","","","outdoor|private","","","5","10682","건식 83도, 노천탕 1개 온도 20도 표기/체감 40도, 샤워실 2개, 냉탕 없음","프라이빗 이용, 남산 뷰 노천탕, 온도계 고장 가능성 MEDIUM"
"분당 청춘목욕당","서울 강남구 분당","80","","20","","","","","","5","10843","온탕 2개, 냉탕 1개, 습식 1개, 건식 1개 건식 80도 정도, 냉탕 20도 정도","천정 찬물 샤워기, 관리 잘 됨, 사장 친절"
"팔공산 심천랜드","대구","","","","","","outdoor|event_bath","","","5","10889","노천탕 온도가 매우 좋고, 사우나 온도도 80도 정도, 노천의 냉탕은 물이 차가울 거예요","노천탕, 실내/노천 냉탕, MEDIUM 신뢰도"
"경주 힐튼호텔 사우나","경주","","","21","","","scrub|event_bath","16000","","5","10898","냉탕 온도 21도, 냉탕 온탕 마사지탕 건식 습식 사우나","투숙객 16,000원, 깔끔함"
"안토","서울 성수","74","","19","38-39","","outdoor|nap|scrub","","","5","10932","탕 38-39도 2개, 냉탕 19도(1.1미터), 건식 74도, 습식 낫베드","고급 골프장 사우나 느낌, 외기욕 벤치, 세신 없음"
"설해원","강원 양양","","","26-27","40.3","43","outdoor|event_bath|jjimjil|nap","41000","","5","10961","면역공방+사우나 41,000원, 온탕 40.3도, 냉탕 27도, 노천탕 43도 정도, 동굴냉탕 26도, 건식, 외기욕 선베드 3개","약알칼리 8.3, 주말 3-4시 조용함, 투숙객 조건"
"아늑 시그니처 호텔 구로 루프 사우나","경기 광명 관악구 신림동","75","","18","","","outdoor|nap","20000","","5","11002","냉탕 18도, 건식 사우나 75도, 내기욕 선베드 2개, 외기욕 공간","이용료 20,000원, 관리 미흡 샤워장 붉은 곰팡이"
"전주 스파온","대전","~80","60","19","39-40","42-43","hinoki|jjimjil","","","5","11033","온탕 39-40 / 열탕 42-43 / 냉탕 19 / 히노끼족욕습식사우나 60도 / 건식 ~80도(온도계 고장)","건식 온도계 고장 명시, 유지보수 필요"
"오라카이 청계산 호텔 사우나","경기","","","20","38","43","event_bath","24000","","5","11071","온탕 38도, 이벤트탕 39도, 열탕 43도, 냉탕 20도, 건식 온도 미기재, 습식 가장 힘들었음","이용료 24,000원, 누구나 가능, 청계산 부근 지하철 접근성"
"더 리버사이드 호텔 메디 스파","서울 광진 신사역","","","","","","outdoor|hinoki|event_bath|nap","28000|35000","","5","수기 11070+","총점 ★★★(26.04)→★★(26.05), 청결 ★★★(26.03)→★★(26.05), 재방문 ★★★★★→★★★, 8회 방문, 26.05.17 사람 없어도 관리안됨","신규 수기 추가 항목, 노천탕/히노키탕 수질 이슈, 주간/야간 28000/35000"
"인천공항 사우나 (스파엣홈)","인천공항 T1·T2","","","","","","capsule_hotel|nap","","","5","수기 11070+","T1 T2 둘다 있음, 건식 습식 있었던 것 같음, 탕·샤워시설 깨끗함, 캡슐호텔, 수면 공간(혼잡)","신규 신설 시설, 정식명/T1·T2 단일/별도 등록 여부 확인 필요, LOW 온도 신뢰도"
